Asset Class,Expected Return
Commodity,0.04895073
Emerging Markets Equities,0.083007131
Emerging Markets Fixed Income,0.055834243
REAL ESTATE,0.062048977
REITs,0.065235668
PRIVATE DEBT,0.08770255
Global Macro,0.059207115
Hedged Equity,0.069665632
Long/Short Credit,0.069382772
Event Driven,0.057057741
Non-US Developed Equities,0.073162108
MultiStratPE,0.097500849
US Equities,0.064981324
US Fixed Income,0.043614861
MultiStratHF,0.057418169
Fund of Funds,0.069665632
Private Real Asset,0.056434739
Buyout and Growth,0.059845797
Secondaries,0.097500849