ICAPITAL,E ( r ),PNCI
Commodity,6.2,Commodities CMA
Emerging Markets Equities,9.8,Emerging Markets CMA
Emerging Markets Fixed Income,6.3,FI Emerging Markets CMA
REAL ESTATE,8.3,Private Real Estate CMA
REITs,8,REIT CMA
PRIVATE DEBT,7.7,Private Debt CMA
Global Macro,8.3,U.S. Large Cap - Core CMA
Hedged Equity,8.3,U.S. Large Cap - Core CMA
Long/Short Credit,8.3,U.S. Large Cap - Core CMA
Event Driven,8.3,U.S. Large Cap - Core CMA
Non-US Developed Equities,8.8,World xUS Large/Mid - Core CMA
MultiStratPE,10.65,Private Equity CMA
US Equities,8.3,U.S. Large Cap - Core CMA
US Fixed Income,4.5,U.S.Core CMA
MultiStratHF,8.3,U.S. Large Cap - Core CMA
Fund of Funds,8.3,U.S. Large Cap - Core CMA
Private Real Asset,8.3,U.S. Large Cap - Core CMA
Buyout and Growth,8.3,U.S. Large Cap - Core CMA
Secondaries,10.65,Private Equity CMA
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
ICAPITAL,,