,2step_point_estimate,2step_mse
Alt Commodities,0.00333273,0.000301725
Fixed Duration,0.002501812,2.18E-05
Emerging Markets,0.001179442,1.25E-05
Alt Trend,0.011134055,0.000148571
US Dollar,-0.000679399,0.000195068
Equity Quality,0.000112025,0.000199613
Equity Market,0.005092053,4.20E-06
Equity SmallCap,0.00525632,0.000140269
Alt HF Crowding,-0.006345844,0.000686978
Fixed Credit,0.001172292,6.96E-05
Equity Momentum,0.003250463,0.001193155
Equity Value,6.60E-05,0.000152311
Alt Oil,0.007157163,0.000585727