,US Equities,Non-US Developed Equities,Emerging Markets Equities,US Fixed Income,Non-US Developed Fixed Income,Emerging Markets Fixed Income,Commodity,REITs,Cash,Private Equity,Private Credit,Private Real Estate,Hedge Funds
3/31/84,1.349802623,9.186861931,,,,,4.90946715,,,,,,
4/30/84,0.546551074,-1.842314119,,,,,-1.124315795,,,,,,
5/31/84,-5.935645111,-10.33830066,,,,,2.903845195,,,,,,
6/30/84,1.746927931,-0.323870728,,,,,-2.25970218,,,,,,
7/31/84,-1.645123384,-6.606696647,,,,,-6.71641791,,,,,,
8/31/84,10.63321386,8.263228194,,,,,4.292358804,,,,,,
9/30/84,-0.347972162,-1.069737564,,,,,-0.784913354,,,,,,
10/31/84,-0.00602047,2.31161743,,,,,0.457207439,,,,,,
11/30/84,-1.511228852,0.194456652,,,,,0.379698287,,,,,,
12/31/84,2.23743734,1.829322658,,,,,-1.991925316,,,,,,
1/31/85,7.408514709,2.070003498,,,,,1.261809156,,,,,,
2/28/85,0.862884819,-0.760569736,,,,,-1.312817617,,,,,,
3/31/85,-0.287007396,7.568289904,,,,,4.32244054,,,,,,
4/30/85,-0.459426547,-0.521066003,,,,,-3.23465254,,,,,,
5/31/85,5.405104821,4.066515345,,,,,-0.010305294,,,,,,
6/30/85,1.213400158,2.390014384,,,,,-2.914122285,,,,,,
7/31/85,-0.484753714,4.975679756,,,,,-2.247876858,,,,,,
8/31/85,-1.199455269,3.032345175,,,,,1.497298618,,,,,,
9/30/85,-3.472406298,5.670512161,,,,,5.686848828,,,,,,
10/31/85,4.250878735,6.627809671,,,,,7.241113122,,,,,,
11/30/85,6.506163734,3.933870711,,,,,1.740556742,,,,,,
12/31/85,4.50610872,4.569666307,,,,,-1.809366954,,,,,,
1/31/86,0.236652783,2.345684036,,,,,-9.072975974,,,,,,
2/28/86,7.148928133,10.90993087,,,,,-3.484157606,,,,,,
3/31/86,5.279393619,13.90844309,,,,,-0.222087624,,,,,,
4/30/86,-1.414817915,6.402945542,,,,,5.633346823,,,,,,
5/31/86,5.022927989,-4.578029991,,,,,-3.754501571,,,,,,
6/30/86,1.410956135,6.672889024,,,,,3.781546055,,,,,,
7/31/86,-5.868282571,6.027573983,,,,,0.965275647,,,,,,
8/31/86,7.119261393,9.724284376,,,,,8.585430095,,,,,,
9/30/86,-8.543865892,-1.151613741,,,,,-2.527084232,,,,,,
10/31/86,5.472937921,-6.798478293,,,,,1.052833078,,,,,,
11/30/86,2.147717026,5.646155008,,,,,3.027325251,,,,,,
12/31/86,-2.828825937,5.190028117,,,,,-0.726261477,,,,,,
1/31/87,13.17673535,10.50943398,,,,,5.720635729,,,,,,
2/28/87,3.692314765,2.895119041,,,,,-6.004532963,,,,,,
3/31/87,2.638986629,8.093706865,,,,,8.078325393,,,,,,
4/30/87,-1.144977717,10.47940986,,,,,5.023603716,,,,,,
5/31/87,0.603412192,-0.088792503,,,,,4.617058178,,,,,,
6/30/87,4.791415101,-3.274301489,,,,,3.573600675,,,,,,
7/31/87,4.822335526,-0.266183845,,,,,4.462755126,,,,,,
8/31/87,3.495921514,7.405555039,,,,,-2.025440402,,,,,,
9/30/87,-2.41658581,-1.660786301,,,,,0.737532736,,,,,,
10/31/87,-21.76306691,-14.10597866,,,,,1.051809664,,,,,,
11/30/87,-8.534890186,0.868671493,,,,,-0.020908141,,,,,,
12/31/87,7.286148502,2.850729139,,,,,-2.777727264,,,,,,
1/31/88,4.043265339,1.673770311,9.84,,,,2.657888092,,,,,,
2/29/88,4.181738755,6.558000108,0.336853605,,,,-1.105047873,,,,,,
3/31/88,-3.334402459,6.036023093,10.74312676,,,,5.041637496,,,,,,
4/30/88,0.942562842,1.344061678,5.333879558,,,,3.099211604,,,,,,
5/31/88,0.317529439,-3.308616748,2.994710641,,,,3.531723416,,,,,,
6/30/88,4.32564248,-2.738767413,3.398534854,,,,-2.793410837,,,,,,
7/31/88,-0.541133455,3.030988502,-2.541815791,,,,0.591640958,,,,,,
8/31/88,-3.860010293,-6.603961939,-2.675560219,,,,-0.675545099,,,,,,
9/30/88,3.972889263,4.257886338,6.476205144,,,,-2.73071034,,,,,,
10/31/88,2.596485086,8.445962675,-0.643668185,,,,4.840715584,,,,,,
11/30/88,-1.889092017,5.848130996,-0.429465716,,,,5.746211084,,,,,,
12/31/88,1.468761418,0.454149145,2.661013232,,,,7.311964605,,,,,,
1/31/89,7.111479188,1.662886345,-1.260414441,,,,0.411558733,,,,,,
2/28/89,-2.894375903,0.416013996,7.644598298,,,,4.301106581,,,,,,
3/31/89,2.080591954,-2.060823594,9.969181294,,,,6.746796214,,,,,,
4/30/89,5.008917486,0.82660438,18.97770196,,,,3.175879791,,,,,,
5/31/89,3.513791343,-5.537471004,1.346715142,,,,-1.278273159,,,,,,
6/30/89,-0.792462249,-1.783814029,-12.13116411,,,,3.496732446,,,,,,
7/31/89,8.837065224,12.44747447,6.572365016,,,,-2.809807655,,,,,,
8/31/89,1.551635012,-4.591686504,2.325455919,,,,3.474353983,,,,,,
9/30/89,-0.654460094,4.449603511,12.60216188,,,,5.956147655,,,,,,
10/31/89,-2.517486043,-4.116676513,1.400140482,,,,-0.703758033,,,,,,
11/30/89,1.654101054,4.921103502,-4.659647178,,,,1.613290891,,,,,,
12/31/89,2.141651493,3.589809495,12.20634536,,,,9.132027577,,,,,,
1/31/90,-6.881665784,-3.8231172,3.289445284,,,,-0.437715422,,,,,,
2/28/90,0.853834674,-7.085722859,3.924436829,,,,-0.326544049,,,,,,
3/31/90,2.425503156,-10.5356287,-13.53253438,,,,0.73193729,,,,,,
4/30/90,-2.688681146,-0.923595904,7.213617971,,,,-1.048679235,,,,,,
5/31/90,9.198911729,11.2774928,8.216206837,,,,-0.738595066,,,,,,
6/30/90,-0.888630512,-1.00765232,3.455463802,,,,-1.547945943,,,,,,
7/31/90,-0.52234512,1.276075265,8.818970862,,,,8.253534221,,,,,,
8/31/90,-9.431365838,-9.842599491,-12.75815411,,,,16.58928905,,,,,,
9/30/90,-5.118456995,-14.08453927,-12.77090731,,,,22.93996577,,,,,,
10/31/90,-0.669825192,15.40184161,-1.857570653,,,,-6.051591847,,,,,,
11/30/90,5.993421053,-6.05429622,-5.215733015,,,,-6.564074476,,,,,,
12/31/90,2.482775743,1.463748746,4.225139581,,,,-1.964185337,,,,,,
1/31/91,4.15174732,3.06620663,8.083586699,,,,-9.387675699,,,,,,
2/28/91,6.728173386,10.56184587,14.79282015,,,,1.39048653,,,,,,
3/31/91,2.220257112,-6.137014544,4.111400677,,,,3.764175449,,,,,,
4/30/91,0.034672992,0.844180106,1.053575432,,,,2.265058647,,,,,,
5/31/91,3.857731755,0.904621556,7.845312038,,,,-0.051210117,,,,,,
6/30/91,-4.789317192,-7.481511139,-3.572163181,,,,-2.367884598,,,,,,
7/31/91,4.485991078,4.762203856,5.183447099,,,,5.105745826,,,,,,
8/31/91,1.964827631,-2.176233236,2.109105658,,,,1.541718139,,,,,,
9/30/91,-1.914321603,5.485767822,-3.833167825,,,,0.789246944,,,,,,
10/31/91,1.185968858,1.272076972,4.078893019,,,,2.868322662,,,,,,
11/30/91,-4.392804362,-4.812809693,-1.484935675,,,,-4.038972776,,,,,,
12/31/91,11.1588135,5.005579699,11.23606822,,,,-7.078592966,,,,,,
1/31/92,-1.990001681,-2.28125738,11.57688245,,,,2.74902919,,,,,,
2/29/92,0.956481323,-3.726956004,4.441318872,,,,-1.096562282,,,,,,
3/31/92,-2.183208142,-6.754803754,3.38487038,,,,1.117564774,,,,,,
4/30/92,2.789294456,0.305768751,-0.696392786,,,,2.996419277,,,,,,
5/31/92,0.096421256,6.523870743,-0.358205943,,,,2.686751756,,,,,,
6/30/92,-1.735933132,-4.903879713,-9.918987342,,,,-0.55125716,,,,,,
7/31/92,3.937399896,-2.734262217,1.087628576,,,,-1.393472503,,,,,,
8/31/92,-2.399754838,6.08633373,-4.662348133,,,,0.104519646,,,,,,
9/30/92,0.910562037,-2.142518606,0.341187449,,,,1.146634407,,,,,,
10/31/92,0.210603159,-5.403439285,5.350344387,,,,-2.198736613,,,,,,
11/30/92,3.026226002,0.780296367,-1.07862069,,,,-1.278725855,,,,,,
12/31/92,1.010756692,0.358463053,2.939289997,,,,0.225136564,,,,,,
1/31/93,0.704597094,-0.169627879,0.484924011,,,,1.212488405,,,,,,
2/28/93,1.048338575,2.866810395,1.676911463,,,,1.161798935,,,,,,
3/31/93,1.86972842,8.563341861,3.306464443,,,,2.084132516,,,,,,
4/30/93,-2.541679222,9.343754237,2.299735633,,,,-1.07447961,,,,,,
5/31/93,2.271746807,1.97900561,2.787465188,,,,-2.782658453,,,,,,
6/30/93,0.075545897,-1.687997616,2.96328842,,,,-3.129582767,,,,,,
7/31/93,-0.53272812,3.37335089,2.643307572,,,,-0.864635424,,,,,,
8/31/93,3.443242685,5.273665051,8.444003049,,,,0.823222145,,,,,,
9/30/93,-0.998834887,-2.371074894,3.656848338,,,,0.254708326,,,,,,
10/31/93,1.939337576,2.960185785,8.972673105,,,,-3.592998479,,,,,,
11/30/93,-1.291088367,-8.85831187,4.425212587,,,,-5.015461779,,,,,,
12/31/93,1.009116698,7.093497355,16.5282392,,,,-1.881182655,,,,,,
1/31/94,3.250101833,8.334264463,1.820632805,,,,8.142115151,,,,,,
2/28/94,-3.004546624,-0.390373705,-1.778947849,,,,-2.174255075,,,,,,
3/31/94,-4.574625289,-4.424011375,-9.049640555,,,,-1.190511588,,,,,,
4/30/94,1.153038562,4.121474956,-1.999897791,,,,2.618985525,,,,,,
5/31/94,1.239737695,-0.690782146,3.422621634,,,,1.487870179,,,,,,
6/30/94,-2.679079956,1.291693821,-2.756395173,,,,2.459918519,,,,,,
7/31/94,3.148985977,0.842036258,6.216944934,,,,1.721577227,,,,,,
8/31/94,3.759874307,2.247715833,12.41233423,,,,-6.739897106,,,,,,
9/30/94,-2.691980904,-3.269368592,1.136314289,,,,-0.941021427,,,,,,
10/31/94,2.087834638,3.202439273,-1.803400698,,,,0.450586854,,,,,,
11/30/94,-3.950501969,-4.926790317,-5.200559701,,,,-3.274484172,,,,,,
12/31/94,1.229937012,0.499497713,-8.030442804,,,,3.385523664,,,,,,
1/31/95,2.427744029,-3.968867406,-10.63911597,,,,-2.484940713,,,,,,
2/28/95,3.607415418,-0.423443662,-2.564870073,,,,0.8077075,,,,,,
3/31/95,2.73294543,6.089543823,0.63553627,,,,1.361884546,,,,,,
4/30/95,2.796029638,3.621072184,4.485528399,,,,3.062125144,,,,,,
5/31/95,3.631151522,-1.326884516,5.319187788,,,,-0.844383814,,,,,,
6/30/95,2.127878164,-1.892041993,0.296478666,,,,-1.784140989,,,,,,
7/31/95,3.177622763,6.083830302,2.243811368,,,,2.611495468,,,,,,
8/31/95,-0.032060628,-3.94282577,-2.355188855,,,,2.119830872,,,,,,
9/30/95,4.009753686,1.81695581,-0.474434229,,,,0.42233531,,,,,,
10/31/95,-0.497921065,-2.821431347,-3.827484821,,,,1.006494624,,,,,,
11/30/95,4.104918315,2.646179483,-1.783679155,,,,2.699624127,,,,,,
12/31/95,1.744354404,3.89476803,4.435194224,,,,10.22722043,,,,,,
1/31/96,3.261751053,0.284602573,7.107458422,,,,-0.161634992,,,,,,
2/29/96,0.693358699,0.207401691,-1.588974329,,,,4.008647551,,,,,,
3/31/96,0.791671345,1.991465221,0.778034334,,,,6.50038869,,,,,,
4/30/96,1.343129357,2.778961854,3.997941259,,,,5.773153447,,,,,,
5/31/96,2.285369596,-1.966870398,-0.445409409,,,,-0.789649025,,,,,,
6/30/96,0.225639612,0.433382574,0.623797306,,,,3.879741214,,,,,,
7/31/96,-4.574788568,-3.053908005,-6.833575037,,,1.074268313,-4.732412508,,,,,,
8/31/96,1.881396984,0.082644266,2.558970938,,,3.171813541,3.220382227,,,,,,
9/30/96,5.417276339,2.521811103,0.865620361,,,5.848475016,3.546558597,,,,,,
10/31/96,2.613070869,-1.155609474,-2.667173755,,,0.827649628,-0.247540454,,,,,,
11/30/96,7.337615381,3.842994713,1.676774884,,,4.925134909,8.32178524,,,,,,
12/31/96,-2.150537634,-1.417588648,0.45112782,,,1.08656284,0.964431159,,,,,,
1/31/97,6.131692632,-3.625987708,6.821357285,,,3.038337513,-1.470003739,,,,,,2.81
2/28/97,0.592780171,1.503188013,4.283645537,,,1.627373253,-6.893793334,,,,,,3.28
3/31/97,-4.261399021,0.227891882,-2.627963925,,,-3.332649011,1.686756137,,,,,,0.3
4/30/97,5.840552906,0.398569956,0.177881372,,,2.937845108,2.313386501,,,,,,0.71
5/31/97,5.857675162,6.371843317,2.860947832,,,3.390413314,0.715237775,,,,,,1.17
6/30/97,4.345251568,5.388595904,5.352917541,,,2.188373021,-5.410067343,,,,,,2.33
7/31/97,7.812335655,1.501292865,1.491651835,,,4.133307297,4.09693885,,,,,,6.47
8/31/97,-5.744584979,-7.584063925,-12.72512178,,,-0.481310164,2.529059959,,,,,,-2.05
9/30/97,5.315352374,5.47644615,2.771620393,,,2.769926512,2.52931206,,,,,,2.62
10/31/97,-3.447755679,-7.80831571,-16.4093413,,,-10.59161472,2.751252937,,,,,,-0.45
11/30/97,4.45865994,-1.149680853,-3.647670317,,,4.238157085,-9.859484237,,,,,,1.21
12/31/97,1.573163238,0.742683913,2.408245834,,,2.446062037,-6.757496095,,,,,,4.14
1/31/98,1.015024372,4.44403519,-7.841219076,,,0.480092178,-1.611711673,,,,,,0.88
2/28/98,7.04492594,6.288428147,10.437463,,,2.64381729,-6.598435478,,,,,,1.18
3/31/98,4.994568014,2.957733433,4.338262477,,,2.271598808,-0.519375469,,,,,,3.7
4/30/98,0.907646925,0.671436281,-1.089517601,,,0.230610511,-2.726752626,,,,,,-0.88
5/31/98,-1.882617495,-0.603712217,-13.70361083,,,-3.021312667,-4.717795385,,,,,,-1.3
6/30/98,3.943822079,0.637626653,-10.48961209,,,-2.534806768,-3.545559727,,,,,,-1.63
7/31/98,-1.161539547,0.896038066,3.169708072,,,0.582922298,-7.860829484,,,,,,1.12
8/31/98,-14.57967109,-12.50719149,-28.91401088,,,-27.34046618,-5.901703534,,,,,,-8.94
9/30/98,6.239553736,-3.20364362,6.345442474,,,8.642299939,10.22065167,,,,,,-0.27
10/31/98,8.029419573,10.28067962,10.53038411,,,6.389673255,-4.690987017,,,,,,3.26
11/30/98,5.91260342,4.995646541,8.316746463,,,6.855236217,-12.16744498,,,,,,1.52
12/31/98,5.63753083,3.821668188,-1.574879563,,,-1.937406855,-1.721138039,,,,,,3.34
1/31/99,4.10094124,-0.412753772,-1.499934554,,,-2.272398321,0.436497277,,,,,,7.24
2/28/99,-3.228251696,-2.501779654,0.979685991,,,0.984893365,-4.606408176,,,,,,1.01
3/31/99,3.879418249,4.051718355,13.26067344,,,6.629023979,16.89264568,,,,,,3.91
4/30/99,3.79439819,3.934298247,12.3874397,,,6.148132866,4.13268866,,,,,,5.66
5/31/99,-2.497041597,-5.262071788,-0.527282077,,,-5.163589245,-5.456896304,,,,,,-0.46
6/30/99,5.443833344,3.780168237,11.34538633,,,3.839322312,6.431665458,,,,,,4.53
7/31/99,-3.204609859,2.854582146,-2.762913053,,,-1.664473684,3.587372795,,,,,,-0.76
8/31/99,-0.625413932,0.250652233,0.950357912,,,0.066903057,7.038140963,,,,,,0.77
9/30/99,-2.855173772,0.892511502,-3.412064139,,,3.142341379,5.304061385,,,,,,1.52
10/31/99,6.253946722,3.633320751,2.121736137,,,3.539249368,-5.15712608,,,,,,1.85
11/30/99,1.906187405,3.368506888,8.978255722,,,2.679521693,4.046411135,,,,,,3.13
12/31/99,5.784392077,8.875471831,12.76250032,,,4.62166941,4.223763878,,,,,,7.67
1/31/00,-5.090352221,-6.444158018,0.570004907,,-0.0956,-1.538551198,7.230600667,,,,,,-0.75
2/29/00,-2.010814222,2.594515924,1.358067581,,0.509887452,5.374371116,6.247531809,,,,,,4.03
3/31/00,9.671989579,3.777799145,0.575545024,,1.066387289,2.718642925,-1.160665086,,,,,,0.91
4/30/00,-3.079582004,-5.355101799,-9.449889377,,0.121693341,-1.842839175,-0.910928773,,,,,,-2.97
5/31/00,-2.191499762,-2.540231909,-4.168828189,,0.412073447,-2.311977716,11.19744922,,,,,,0.22
6/30/00,2.39335492,3.802098475,3.379753251,,0.464681829,4.659252923,7.126656974,,,,,,1.83
7/31/00,-1.63412622,-4.289324834,-5.161082252,,0.549946391,2.855274629,-7.679780545,,,,,,-0.45
8/31/00,6.069903483,0.767414156,0.432313887,,0.077330141,3.189235007,15.40870327,,,,,,3.43
9/30/00,-5.348294766,-4.968471829,-8.736231999,,0.421739253,-1.078139439,-1.369030867,,,,,,-0.95
10/31/00,-0.494949565,-2.463790957,-7.252831944,,0.606781471,-2.029271331,0.225295369,,,,,,-0.19
11/30/00,-8.006856024,-3.85462597,-8.750504157,,1.40949142,-0.402606346,9.215366207,,,,,,0.67
12/31/00,0.405338606,3.44132019,2.412371555,,0.948270478,4.414658795,-2.061711567,,,,,,4.65
1/31/01,3.463659224,-0.074483414,13.76995321,,0.817782744,4.824002853,-5.307479614,,,,,,3.58
2/28/01,-9.229068601,-7.583993554,-7.830046876,,0.796923509,-1.331519098,-1.395862061,,,,,,-0.61
3/31/01,-6.420471958,-6.908268505,-9.82208041,,0.52311541,-1.118006304,-3.919310619,,,-7.7,0.55,3.13,-0.34
4/30/01,7.681435454,6.740912567,4.941196762,,-0.637392143,-0.483139911,5.370164041,,,,,,0.82
5/31/01,0.509019897,-3.816517918,1.193753688,,0.408937142,2.412412412,-2.848456949,,,,,,0.86
6/30/01,-2.500358332,-4.229477806,-2.052759216,,0.431093554,1.524777637,-7.234153034,,,-1.397616468,1.869716559,1.270241443,0.55
7/31/01,-1.077244736,-1.861904778,-6.31912328,,0.915907913,-5.179551362,0.239295313,,,,,,0.55
8/31/01,-6.410838569,-2.707211424,-0.343998015,,0.699958164,4.47761194,0.956081944,,,,,,0.44
9/30/01,-8.172338962,-10.25637689,-17.31737631,,0.633180611,-3.270165209,-10.95608511,,,-6.603669926,1.044615835,0.124473382,-1.61
10/31/01,1.809902588,2.533296405,7.868914654,,1.551588574,0.055256945,-5.042525088,,,,,,5.66
11/30/01,7.517597992,3.610418136,9.933547204,,-0.81588165,-1.280249021,-5.370820645,,,,,,2.42
12/31/01,0.757382948,0.575186567,8.435110341,,-0.549462274,1.195138077,-1.325597391,,,-2.164705882,0.425120773,2.534187626,2.21
1/31/02,-1.557382761,-5.354752251,3.388788677,,0.100039694,1.849432104,-3.11987864,,,,,,0.02
2/28/02,-2.076623606,0.574312463,1.642856525,,0.369839462,3.750123359,4.367954514,,,,,,1.03
3/31/02,3.673886133,5.11260278,6.025349518,,-0.700025627,0.109388376,13.48176732,,,-2.958152958,2.693861843,2.639432942,1.91
4/30/02,-6.141765224,0.444633951,0.639350018,,1.057216772,0.98341964,1.107079071,,,,,,1.12
5/31/02,-0.908145452,0.928069521,-1.593303858,,0.264687026,-0.517500941,-4.35119102,,,,,,0.5
6/30/02,-7.246462507,-4.140231909,-9.270381571,,1.045517417,-5.04587156,3.417419179,,,-3.370508055,-1.433389545,-0.009086779,0.01
7/31/02,-7.899495065,-9.943281174,-5.80503858,,1.029010445,-4.527117884,0.578176336,,,,,,-0.63
8/31/02,0.488141935,-0.47348256,0.712486045,,1.279291283,7.318727178,6.047936201,,,,,,2.37
9/30/02,-11.00244403,-10.87952784,-10.05532949,,1.206078636,-2.770621689,4.566566401,,,-6.411900487,3.74489117,1.463104326,0.31
10/31/02,8.64488274,5.303470747,6.488776319,,-0.159570242,6.154076888,-4.718528202,,,,,,1.76
11/30/02,5.706974801,4.420391206,6.047687613,,-0.057564188,2.835075822,-0.217069492,,,,,,2.87
12/31/02,-6.033257571,-3.418883941,-2.560734021,,1.320673211,3.072907126,8.530929838,,,-0.35626199,0.219880898,2.212270488,3.17
1/31/03,-2.7414809,-4.226896066,-0.435389485,,0.42777056,1.648376061,8.991200017,,,,,,1.19
2/28/03,-1.700373963,-2.47305151,-2.698991192,,0.804782077,3.199580383,12.1226363,,,,,,1.23
