date,Private Credit,Private Equity,Private Real Estate,Private Real Asset
1/31/01,,,,
2/28/01,,,,
3/31/01,0.55,-7.7,3.13,
4/30/01,,,,
5/31/01,,,,
6/30/01,1.869716559,-1.397616468,1.270241443,
7/31/01,,,,
8/31/01,,,,
9/30/01,1.044615835,-6.603669926,0.124473382,
10/31/01,,,,
11/30/01,,,,
12/31/01,0.425120773,-2.164705882,2.534187626,
1/31/02,,,,
2/28/02,,,,
3/31/02,2.693861843,-2.958152958,2.639432942,
4/30/02,,,,
5/31/02,,,,
6/30/02,-1.433389545,-3.370508055,-0.009086779,
7/31/02,,,,
8/31/02,,,,
9/30/02,3.74489117,-6.411900487,1.463104326,
10/31/02,,,,
11/30/02,,,,
12/31/02,0.219880898,-0.35626199,2.212270488,
1/31/03,,,,
2/28/03,,,,
3/31/03,1.581497395,-2.00770077,4.118471784,
4/30/03,,,,
5/31/03,,,,
6/30/03,5.138588913,5.500982318,-0.067328733,
7/31/03,,,,
8/31/03,,,,
9/30/03,2.9444492,2.59377494,3.360282971,
10/31/03,,,,
11/30/03,,,,
12/31/03,4.506526981,7.77907429,4.5791575,
1/31/04,,,,
2/29/04,,,,
3/31/04,7.176386347,2.574281246,3.054148812,
4/30/04,,,,
5/31/04,,,,
6/30/04,1.521787544,2.486220242,5.995312618,
7/31/04,,,,
8/31/04,,,,
9/30/04,6.164083065,3.375672274,3.808844508,
10/31/04,,,,
11/30/04,,,,
12/31/04,10.71699153,9.442107594,7.990930328,
1/31/05,,,,
2/28/05,,,,
3/31/05,5.766718507,1.496915141,6.540688427,
4/30/05,,,,
5/31/05,,,,
6/30/05,0.576402776,5.779770802,8.414452075,
7/31/05,,,,
8/31/05,,,,
9/30/05,3.32748538,5.463966086,7.447394514,
10/31/05,,,,
11/30/05,,,,
12/31/05,2.716622333,7.217507816,11.19655491,
1/31/06,,,,
2/28/06,,,,
3/31/06,3.024960053,5.007081563,7.625633933,
4/30/06,,,,
5/31/06,,,,
6/30/06,6.2306129,2.991113932,5.945853324,
7/31/06,,,,
8/31/06,,,,
9/30/06,1.419725117,4.036668978,5.409995148,
10/31/06,,,,
11/30/06,,,,
12/31/06,5.524944155,9.72972973,17.38780207,
1/31/07,,,,
2/28/07,,,,
3/31/07,2.079217236,5.870841487,2.999705911,
4/30/07,,,,
5/31/07,,,,
6/30/07,8.493087558,8.566511569,6.925541702,
7/31/07,,,,
8/31/07,,,,
9/30/07,2.255447479,3.317090354,-0.537028246,
10/31/07,,,,
11/30/07,,,,
12/31/07,-0.228462241,3.096942834,-2.887569728,
1/31/08,,,,
2/29/08,,,,
3/31/08,-1.711145343,-1.510224329,-3.087083397,3.10
4/30/08,,,,
5/31/08,,,,
6/30/08,0.779396815,-0.878616599,-2.196513471,6.17266859
7/31/08,,,,
8/31/08,,,,
9/30/08,-9.604068594,-7.61630533,-3.837054801,2.054975363
10/31/08,,,,
11/30/08,,,,
12/31/08,-15.84135398,-14.9483591,-23.07484919,-7.062470971
1/31/09,,,,
2/28/09,,,,
3/31/09,-2.209944751,-4.296903068,-6.956978884,-10.62112408
4/30/09,,,,
5/31/09,,,,
6/30/09,8.593220339,1.922066221,-11.11215745,-4.434229519
7/31/09,,,,
8/31/09,,,,
9/30/09,10.67582332,4.987108656,-1.9387647,0.738369824
10/31/09,,,,
11/30/09,,,,
12/31/09,6.06402482,5.423800168,-4.55920484,7.55801577
1/31/10,,,,
2/28/10,,,,
3/31/10,4.644772415,3.600665557,0.033959701,1.913638628
4/30/10,,,,
5/31/10,,,,
6/30/10,0.220236331,1.25273031,-0.260269322,1.473026494
7/31/10,,,,
8/31/10,,,,
9/30/10,4.128808689,5.361334941,2.938506921,3.346627145
10/31/10,,,,
11/30/10,,,,
12/31/10,4.736201299,6.871010478,3.93475146,3.404683197
1/31/11,,,,
2/28/11,,,,
3/31/11,4.572402836,5.522060066,3.764581124,2.702858649
4/30/11,,,,
5/31/11,,,,
6/30/11,2.560492089,4.448123031,4.363822177,3.411105181
7/31/11,,,,
8/31/11,,,,
9/30/11,-4.559578004,-3.95194274,-0.377007442,-1.221706477
10/31/11,,,,
11/30/11,,,,
12/31/11,1.449878861,2.427210305,2.270605003,3.066509328
1/31/12,,,,
2/29/12,,,,
3/31/12,3.981491847,5.58644702,2.710365707,3.326491236
4/30/12,,,,
5/31/12,,,,
6/30/12,1.195004665,1.136922925,1.356852103,0.368188957
7/31/12,,,,
8/31/12,,,,
9/30/12,4.028511649,2.798189693,1.814153164,1.425105534
10/31/12,,,,
11/30/12,,,,
12/31/12,3.814555991,3.020261314,2.276024664,1.715042792
1/31/13,,,,
2/28/13,,,,
3/31/13,3.648125041,3.446374414,2.79280078,2.513442708
4/30/13,,,,
5/31/13,,,,
6/30/13,2.718200539,2.767412935,3.458685527,0.514485132
7/31/13,,,,
8/31/13,,,,
9/30/13,3.676402554,5.074562351,2.592746978,3.685287609
10/31/13,,,,
11/30/13,,,,
12/31/13,4.25405325,7.005635773,4.753778645,3.432231644
1/31/14,,,,
2/28/14,,,,
3/31/14,4.097588814,3.57911733,2.815918082,2.335707228
4/30/14,,,,
5/31/14,,,,
6/30/14,3.100243963,4.375904688,4.08178663,6.304706695
7/31/14,,,,
8/31/14,,,,
9/30/14,0.436031054,0.583173316,2.163827474,1.496309329
10/31/14,,,,
11/30/14,,,,
12/31/14,1.890088945,3.111079686,3.88122184,-3.369502274
1/31/15,,,,
2/28/15,,,,
3/31/15,2.855287088,2.869779881,3.200027321,-0.003606831
4/30/15,,,,
5/31/15,,,,
6/30/15,2.323877845,5.03616305,3.292739427,2.554424128
7/31/15,,,,
8/31/15,,,,
9/30/15,-1.204670567,-0.463286159,1.316759043,-0.615144322
10/31/15,,,,
11/30/15,,,,
12/31/15,0.014992129,2.904233614,2.937642297,-1.381086813
1/31/16,,,,
2/29/16,,,,
3/31/16,0.737002523,0.889122959,2.227137284,-0.598141807
4/30/16,,,,
5/31/16,,,,
6/30/16,2.50483607,2.229318922,1.553578941,3.639414074
7/31/16,,,,
8/31/16,,,,
9/30/16,3.61463273,3.883815932,2.893919219,3.46861823
10/31/16,,,,
11/30/16,,,,
12/31/16,-0.394620091,3.177678184,1.84050844,3.21071443
1/31/17,,,,
2/28/17,,,,
3/31/17,3.378109103,4.282031162,3.925112247,2.500549567
4/30/17,,,,
5/31/17,,,,
6/30/17,3.068166357,5.191873589,2.757927343,0.711005637
7/31/17,,,,
8/31/17,,,,
9/30/17,1.667730083,4.230533415,3.68343117,2.488089893
10/31/17,,,,
11/30/17,,,,
12/31/17,3.601030102,4.25245098,3.170028818,3.145288897
1/31/18,,,,
2/28/18,,,,
3/31/18,0.219330311,3.296109087,2.788352203,0.033536103
4/30/18,,,,
5/31/18,,,,
6/30/18,2.515736379,3.855520404,0.101005243,3.15289745
7/31/18,,,,
8/31/18,,,,
9/30/18,1.573650503,3.414345511,2.347203536,2.037542285
10/31/18,,,,
11/30/18,,,,
12/31/18,-1.423166997,-0.046621035,1.375554564,0.729713773
1/31/19,,,,
2/28/19,,,,
3/31/19,2.865090968,3.394322302,2.306249566,2.942404188
4/30/19,,,,
5/31/19,,,,
6/30/19,1.387709982,4.119504593,1.817441097,0.487657543
7/31/19,,,,
8/31/19,,,,
9/30/19,1.049413964,2.424325974,1.342639932,2.190645884
10/31/19,,,,
11/30/19,,,,
12/31/19,1.762971812,4.44931549,2.958982233,1.264131179
1/31/20,,,,
2/29/20,,,,
3/31/20,-7.550742199,-7.142594161,-4.806237883,-7.513082649
4/30/20,,,,
5/31/20,,,,
6/30/20,4.941836651,9.153086713,0.125327306,1.957239169
7/31/20,,,,
8/31/20,,,,
9/30/20,4.387111883,10.4760348,2.675518004,1.897114637
10/31/20,,,,
11/30/20,,,,
12/31/20,4.97859373,12.18866622,4.218913271,4.043887969
1/31/21,,,,
2/28/21,,,,
3/31/21,5.424561903,10.46145279,3.281530685,5.517160057
4/30/21,,,,
5/31/21,,,,
6/30/21,5.444440691,12.5895463,5.931843462,4.760969988
7/31/21,,,,
8/31/21,,,,
9/30/21,4.37032409,3.716271945,7.818167933,3.104478433
10/31/21,,,,
11/30/21,,,,
12/31/21,4.247187217,7.074207034,7.364581304,6.026255705
1/31/22,,,,
2/28/22,,,,
3/31/22,1.332528417,0.046683855,4.495975722,8.265334906
4/30/22,,,,
5/31/22,,,,
6/30/22,-1.297569056,-2.126305743,1.469427697,5.184571354
7/31/22,,,,
8/31/22,,,,
9/30/22,1.713579084,-1.8203489,-0.273763785,3.404297796
10/31/22,,,,
11/30/22,,,,
12/31/22,3.05679384,2.239267189,1.491117246,0.109163841
1/31/23,,,,
2/28/23,,,,
3/31/23,2.909948879,2.112501214,-0.235135011,1.610033698
4/30/23,,,,
5/31/23,,,,
6/30/23,2.449642448,2.391221616,0.050834925,1.829085266
7/31/23,,,,
8/31/23,,,,
9/30/23,2.287168147,2.118565322,-0.81910422,0.556284086