name,date,value
Carlyle Tactical Private Credit Fund,8/31/18,-0.039992001
Carlyle Tactical Private Credit Fund,9/30/18,0.541460628
Carlyle Tactical Private Credit Fund,10/31/18,0.100050017
Carlyle Tactical Private Credit Fund,11/30/18,-0.199800133
Carlyle Tactical Private Credit Fund,12/31/18,-2.156409734
Carlyle Tactical Private Credit Fund,1/31/19,1.156637921
Carlyle Tactical Private Credit Fund,2/28/19,0.934337937
Carlyle Tactical Private Credit Fund,3/31/19,0.481153845
Carlyle Tactical Private Credit Fund,4/30/19,1.146522763
Carlyle Tactical Private Credit Fund,5/31/19,0.41084165
Carlyle Tactical Private Credit Fund,6/30/19,0.120072029
Carlyle Tactical Private Credit Fund,7/31/19,0.210220654
Carlyle Tactical Private Credit Fund,8/31/19,-0.82656501
Carlyle Tactical Private Credit Fund,9/30/19,-0.578321247
Carlyle Tactical Private Credit Fund,10/31/19,-1.48880604
Carlyle Tactical Private Credit Fund,11/30/19,0.652117085
Carlyle Tactical Private Credit Fund,12/31/19,2.295960563
Carlyle Tactical Private Credit Fund,1/31/20,0.863708624
Carlyle Tactical Private Credit Fund,2/29/20,-0.95540671
Carlyle Tactical Private Credit Fund,3/31/20,-13.99803146
Carlyle Tactical Private Credit Fund,4/30/20,-1.665966696
Carlyle Tactical Private Credit Fund,5/31/20,5.263863751
Carlyle Tactical Private Credit Fund,6/30/20,5.127109638
Carlyle Tactical Private Credit Fund,7/31/20,1.349018236
Carlyle Tactical Private Credit Fund,8/31/20,1.116183357
Carlyle Tactical Private Credit Fund,9/30/20,1.126295481
Carlyle Tactical Private Credit Fund,10/31/20,0.873795499
Carlyle Tactical Private Credit Fund,11/30/20,3.251750531
Carlyle Tactical Private Credit Fund,12/31/20,1.97933411
Carlyle Tactical Private Credit Fund,1/31/21,1.612868541
Carlyle Tactical Private Credit Fund,2/28/21,1.359153645
Carlyle Tactical Private Credit Fund,3/31/21,0.561570931
Carlyle Tactical Private Credit Fund,4/30/21,1.075744972
Carlyle Tactical Private Credit Fund,5/31/21,1.146522763
Carlyle Tactical Private Credit Fund,6/30/21,0.914153088
Carlyle Tactical Private Credit Fund,7/31/21,0.631988674
Carlyle Tactical Private Credit Fund,8/31/21,0.511302714
Carlyle Tactical Private Credit Fund,9/30/21,0.843537899
Carlyle Tactical Private Credit Fund,10/31/21,0.45101402
Carlyle Tactical Private Credit Fund,11/30/21,0.41084165
Carlyle Tactical Private Credit Fund,12/31/21,0.853622757
Carlyle Tactical Private Credit Fund,1/31/22,0.430925827
Carlyle Tactical Private Credit Fund,2/28/22,-0.64789207
Carlyle Tactical Private Credit Fund,3/31/22,0.270364828
Carlyle Tactical Private Credit Fund,4/30/22,0.220242178
Carlyle Tactical Private Credit Fund,5/31/22,-2.916621059
Carlyle Tactical Private Credit Fund,6/30/22,-1.813357176
Carlyle Tactical Private Credit Fund,7/31/22,1.227472357
Carlyle Tactical Private Credit Fund,8/31/22,1.867218517
Carlyle Tactical Private Credit Fund,9/30/22,-2.058517205
Carlyle Tactical Private Credit Fund,10/31/22,-0.069975506
Carlyle Tactical Private Credit Fund,11/30/22,1.673854556
Carlyle Tactical Private Credit Fund,12/31/22,0.491202463
Carlyle Tactical Private Credit Fund,1/31/23,3.014544396
Carlyle Tactical Private Credit Fund,2/28/23,0.672249521
Carlyle Tactical Private Credit Fund,3/31/23,-0.209779654
Carlyle Tactical Private Credit Fund,4/30/23,1.227472357
Carlyle Tactical Private Credit Fund,5/31/23,0.230264703
"iCapital-HG Vora Access Fund, L.P.",4/30/09,8.206212976
"iCapital-HG Vora Access Fund, L.P.",5/31/09,4.244649538
"iCapital-HG Vora Access Fund, L.P.",6/30/09,2.563260313
"iCapital-HG Vora Access Fund, L.P.",7/31/09,2.924149363
"iCapital-HG Vora Access Fund, L.P.",8/31/09,0.251404172
"iCapital-HG Vora Access Fund, L.P.",9/30/09,2.263452595
"iCapital-HG Vora Access Fund, L.P.",10/31/09,-0.041150861
"iCapital-HG Vora Access Fund, L.P.",11/30/09,-0.073208519
"iCapital-HG Vora Access Fund, L.P.",12/31/09,2.776202496
"iCapital-HG Vora Access Fund, L.P.",1/31/10,2.327760828
"iCapital-HG Vora Access Fund, L.P.",2/28/10,0.894007286
"iCapital-HG Vora Access Fund, L.P.",3/31/10,5.745068365
"iCapital-HG Vora Access Fund, L.P.",4/30/10,5.160647906
"iCapital-HG Vora Access Fund, L.P.",5/31/10,-5.182501839
"iCapital-HG Vora Access Fund, L.P.",6/30/10,-2.412432514
"iCapital-HG Vora Access Fund, L.P.",7/31/10,3.043435373
"iCapital-HG Vora Access Fund, L.P.",8/31/10,-1.345361415
"iCapital-HG Vora Access Fund, L.P.",9/30/10,2.110996437
"iCapital-HG Vora Access Fund, L.P.",10/31/10,2.758194497
"iCapital-HG Vora Access Fund, L.P.",11/30/10,-1.396038135
"iCapital-HG Vora Access Fund, L.P.",12/31/10,3.377046808
"iCapital-HG Vora Access Fund, L.P.",1/31/11,1.889748638
"iCapital-HG Vora Access Fund, L.P.",2/28/11,-0.511876763
"iCapital-HG Vora Access Fund, L.P.",3/31/11,0.207248123
"iCapital-HG Vora Access Fund, L.P.",4/30/11,0.297664815
"iCapital-HG Vora Access Fund, L.P.",5/31/11,-0.188985527
"iCapital-HG Vora Access Fund, L.P.",6/30/11,-0.744344234
"iCapital-HG Vora Access Fund, L.P.",7/31/11,0.166681419
"iCapital-HG Vora Access Fund, L.P.",8/31/11,-5.498407521
"iCapital-HG Vora Access Fund, L.P.",9/30/11,-3.249440776
"iCapital-HG Vora Access Fund, L.P.",10/31/11,2.104627973
"iCapital-HG Vora Access Fund, L.P.",11/30/11,0.124148671
"iCapital-HG Vora Access Fund, L.P.",12/31/11,2.548132322
"iCapital-HG Vora Access Fund, L.P.",1/31/12,4.613215095
"iCapital-HG Vora Access Fund, L.P.",2/29/12,4.786833766
"iCapital-HG Vora Access Fund, L.P.",3/31/12,4.94058365
"iCapital-HG Vora Access Fund, L.P.",4/30/12,7.205084333
"iCapital-HG Vora Access Fund, L.P.",5/31/12,0.690048639
"iCapital-HG Vora Access Fund, L.P.",6/30/12,0.833095789
"iCapital-HG Vora Access Fund, L.P.",7/31/12,0.503614597
"iCapital-HG Vora Access Fund, L.P.",8/31/12,3.292136779
"iCapital-HG Vora Access Fund, L.P.",9/30/12,1.024041381
"iCapital-HG Vora Access Fund, L.P.",10/31/12,0.456264391
"iCapital-HG Vora Access Fund, L.P.",11/30/12,1.273884249
"iCapital-HG Vora Access Fund, L.P.",12/31/12,3.337038331
"iCapital-HG Vora Access Fund, L.P.",1/31/13,3.340005284
"iCapital-HG Vora Access Fund, L.P.",2/28/13,-0.581093433
"iCapital-HG Vora Access Fund, L.P.",3/31/13,1.423383693
"iCapital-HG Vora Access Fund, L.P.",4/30/13,3.326297005
"iCapital-HG Vora Access Fund, L.P.",5/31/13,1.114994845
"iCapital-HG Vora Access Fund, L.P.",6/30/13,-0.558059381
"iCapital-HG Vora Access Fund, L.P.",7/31/13,1.728483032
"iCapital-HG Vora Access Fund, L.P.",8/31/13,0.230960975
"iCapital-HG Vora Access Fund, L.P.",9/30/13,0.63464006
"iCapital-HG Vora Access Fund, L.P.",10/31/13,0.862947771
"iCapital-HG Vora Access Fund, L.P.",11/30/13,0.91118893
"iCapital-HG Vora Access Fund, L.P.",12/31/13,2.705308192
"iCapital-HG Vora Access Fund, L.P.",1/31/14,1.570086948
"iCapital-HG Vora Access Fund, L.P.",2/28/14,2.809276162
"iCapital-HG Vora Access Fund, L.P.",3/31/14,-0.165761803
"iCapital-HG Vora Access Fund, L.P.",4/30/14,-0.609534107
"iCapital-HG Vora Access Fund, L.P.",5/31/14,-0.279358396
"iCapital-HG Vora Access Fund, L.P.",6/30/14,1.01044052
"iCapital-HG Vora Access Fund, L.P.",7/31/14,-0.489319244
"iCapital-HG Vora Access Fund, L.P.",8/31/14,-0.076473074
"iCapital-HG Vora Access Fund, L.P.",9/30/14,-0.70453974
"iCapital-HG Vora Access Fund, L.P.",10/31/14,-2.439286869
"iCapital-HG Vora Access Fund, L.P.",11/30/14,0.268972754
"iCapital-HG Vora Access Fund, L.P.",12/31/14,-2.242537957
"iCapital-HG Vora Access Fund, L.P.",1/31/15,-0.011854627
"iCapital-HG Vora Access Fund, L.P.",2/28/15,3.831731657
"iCapital-HG Vora Access Fund, L.P.",3/31/15,4.137270969
"iCapital-HG Vora Access Fund, L.P.",4/30/15,0.699518933
"iCapital-HG Vora Access Fund, L.P.",5/31/15,-1.165977478
"iCapital-HG Vora Access Fund, L.P.",6/30/15,-0.284491883
"iCapital-HG Vora Access Fund, L.P.",7/31/15,-0.069449203
"iCapital-HG Vora Access Fund, L.P.",8/31/15,0.131682295
"iCapital-HG Vora Access Fund, L.P.",9/30/15,-2.256183164
"iCapital-HG Vora Access Fund, L.P.",10/31/15,3.025176767
"iCapital-HG Vora Access Fund, L.P.",11/30/15,-2.359088286
"iCapital-HG Vora Access Fund, L.P.",12/31/15,-1.528904148
"iCapital-HG Vora Access Fund, L.P.",1/31/16,-3.294831099
"iCapital-HG Vora Access Fund, L.P.",2/29/16,0.114732437
"iCapital-HG Vora Access Fund, L.P.",3/31/16,3.540310674
"iCapital-HG Vora Access Fund, L.P.",4/30/16,3.800437545
"iCapital-HG Vora Access Fund, L.P.",5/31/16,0.491202463
"iCapital-HG Vora Access Fund, L.P.",6/30/16,-0.448989017
"iCapital-HG Vora Access Fund, L.P.",7/31/16,2.439275204
"iCapital-HG Vora Access Fund, L.P.",8/31/16,2.295960563
"iCapital-HG Vora Access Fund, L.P.",9/30/16,1.897783267
"iCapital-HG Vora Access Fund, L.P.",10/31/16,0.090040512
"iCapital-HG Vora Access Fund, L.P.",11/30/16,0.0100005
"iCapital-HG Vora Access Fund, L.P.",12/31/16,1.795936416
"iCapital-HG Vora Access Fund, L.P.",1/31/17,1.501155838
"iCapital-HG Vora Access Fund, L.P.",2/28/17,0.984817725
"iCapital-HG Vora Access Fund, L.P.",3/31/17,1.938550533
"iCapital-HG Vora Access Fund, L.P.",4/30/17,0.934337937
"iCapital-HG Vora Access Fund, L.P.",5/31/17,0.370685345
"iCapital-HG Vora Access Fund, L.P.",6/30/17,1.460563495
"iCapital-HG Vora Access Fund, L.P.",7/31/17,0.340578656
"iCapital-HG Vora Access Fund, L.P.",8/31/17,0.501252086
"iCapital-HG Vora Access Fund, L.P.",9/30/17,0.893972276
"iCapital-HG Vora Access Fund, L.P.",10/31/17,1.176871272
"iCapital-HG Vora Access Fund, L.P.",11/30/17,0.41084165
"iCapital-HG Vora Access Fund, L.P.",12/31/17,1.217350116
"iCapital-HG Vora Access Fund, L.P.",1/31/18,0.772972124
"iCapital-HG Vora Access Fund, L.P.",2/28/18,-0.578321247
"iCapital-HG Vora Access Fund, L.P.",3/31/18,0.240288231
"iCapital-HG Vora Access Fund, L.P.",4/30/18,0.934337937
"iCapital-HG Vora Access Fund, L.P.",5/31/18,0.6621828
"iCapital-HG Vora Access Fund, L.P.",6/30/18,2.808721199
"iCapital-HG Vora Access Fund, L.P.",7/31/18,-0.64789207
"iCapital-HG Vora Access Fund, L.P.",8/31/18,-0.45894362
"iCapital-HG Vora Access Fund, L.P.",9/30/18,0.601803605
"iCapital-HG Vora Access Fund, L.P.",10/31/18,-0.945501756
"iCapital-HG Vora Access Fund, L.P.",11/30/18,-0.005602033
"iCapital-HG Vora Access Fund, L.P.",12/31/18,-3.644210528
"iCapital-HG Vora Access Fund, L.P.",1/31/19,4.61445027
"iCapital-HG Vora Access Fund, L.P.",2/28/19,0.812544217
"iCapital-HG Vora Access Fund, L.P.",3/31/19,-0.048589392
"iCapital-HG Vora Access Fund, L.P.",4/30/19,1.413295408
"iCapital-HG Vora Access Fund, L.P.",5/31/19,-0.726591517
"iCapital-HG Vora Access Fund, L.P.",6/30/19,1.351085372
"iCapital-HG Vora Access Fund, L.P.",7/31/19,-0.039992001
"iCapital-HG Vora Access Fund, L.P.",8/31/19,0.0300045
"iCapital-HG Vora Access Fund, L.P.",9/30/19,-0.129915537
"iCapital-HG Vora Access Fund, L.P.",10/31/19,1.523395148
"iCapital-HG Vora Access Fund, L.P.",11/30/19,0.281223694
"iCapital-HG Vora Access Fund, L.P.",12/31/19,1.436072857
"iCapital-HG Vora Access Fund, L.P.",1/31/20,0.115934782
"iCapital-HG Vora Access Fund, L.P.",2/29/20,-3.616913788
"iCapital-HG Vora Access Fund, L.P.",3/31/20,-17.27580804
"iCapital-HG Vora Access Fund, L.P.",4/30/20,9.804042022
"iCapital-HG Vora Access Fund, L.P.",5/31/20,5.940691777
"iCapital-HG Vora Access Fund, L.P.",6/30/20,4.402788618
"iCapital-HG Vora Access Fund, L.P.",7/31/20,2.413821695
"iCapital-HG Vora Access Fund, L.P.",8/31/20,3.687382008
"iCapital-HG Vora Access Fund, L.P.",9/30/20,2.107929477
"iCapital-HG Vora Access Fund, L.P.",10/31/20,1.480464298
"iCapital-HG Vora Access Fund, L.P.",11/30/20,5.160110431
"iCapital-HG Vora Access Fund, L.P.",12/31/20,2.047596213
"iCapital-HG Vora Access Fund, L.P.",1/31/21,1.243078281
"iCapital-HG Vora Access Fund, L.P.",2/28/21,1.676029078
"iCapital-HG Vora Access Fund, L.P.",3/31/21,3.137123194
"iCapital-HG Vora Access Fund, L.P.",4/30/21,2.875768067
"iCapital-HG Vora Access Fund, L.P.",5/31/21,0.614724825
"iCapital-HG Vora Access Fund, L.P.",6/30/21,0.710315759
"iCapital-HG Vora Access Fund, L.P.",7/31/21,0.361206283
"iCapital-HG Vora Access Fund, L.P.",8/31/21,1.555005519
"iCapital-HG Vora Access Fund, L.P.",9/30/21,1.198697477
"iCapital-HG Vora Access Fund, L.P.",10/31/21,-0.578245438
"iCapital-HG Vora Access Fund, L.P.",11/30/21,-2.825328718
"iCapital-HG Vora Access Fund, L.P.",12/31/21,1.841688902
"iCapital-HG Vora Access Fund, L.P.",1/31/22,-1.256667256
"iCapital-HG Vora Access Fund, L.P.",2/28/22,1.354384404
"iCapital-HG Vora Access Fund, L.P.",3/31/22,-1.867183847
"iCapital-HG Vora Access Fund, L.P.",4/30/22,-3.335589055
"iCapital-HG Vora Access Fund, L.P.",5/31/22,-1.575468486
"iCapital-HG Vora Access Fund, L.P.",6/30/22,-9.335386152
"iCapital-HG Vora Access Fund, L.P.",7/31/22,1.765607985
"iCapital-HG Vora Access Fund, L.P.",8/31/22,2.705157626
"iCapital-HG Vora Access Fund, L.P.",9/30/22,-4.979524877
"iCapital-HG Vora Access Fund, L.P.",10/31/22,2.881840077
"iCapital-HG Vora Access Fund, L.P.",11/30/22,4.05249787
"iCapital-HG Vora Access Fund, L.P.",12/31/22,-1.487335946
"iCapital-HG Vora Access Fund, L.P.",1/31/23,4.307092013
"iCapital-HG Vora Access Fund, L.P.",2/28/23,0.603092373
"iCapital-HG Vora Access Fund, L.P.",3/31/23,-0.446463704
"iCapital-HG Vora Access Fund, L.P.",4/30/23,0.453770635